36024_at,lacrimal proline rich protein
33128_s_at," Cluster Incl W68521:zd36f07.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-342757 /clone_end=5'' /gb=W68521 /gi=1377410 /ug=Hs.83393 /len=579'' "
40504_at,paraoxonase 2
493_at,"casein kinase 1, delta"
41106_at,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4"
892_at,transmembrane 4 superfamily member 1
41531_at," Cluster Incl AI445461:tj34g07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2143452 /clone_end=3'' /gb=AI445461 /gi=4288374 /ug=Hs.3337 /len=775'' "
189_s_at,"plasminogen activator, urokinase receptor"
39712_at," Cluster Incl AI541308:pec1.2-4.F11.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI541308 /gi=4458681 /ug=Hs.14331 /len=659'' "
37360_at,"lymphocyte antigen 6 complex, locus E"
36412_s_at,interferon regulatory factor 7
32814_at,interferon-induced protein with tetratricopeptide repeats 1
37014_at,"myxovirus (influenza) resistance 1, homolog of murine (interferon-inducible protein p78)"
37641_at,"interferon-induced, hepatitis C-associated microtubular aggregate protein (44kD)"
36927_at,"hypothetical protein, expressed in osteoblast"
425_at,"interferon, alpha-inducible protein 27"
1358_s_at,"interferon, alpha-inducible protein (clone IFI-6-16)"
1107_s_at,"interferon-stimulated protein, 15 kDa"
38432_at," Cluster Incl AA203213:zx57e04.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-446622 /clone_end=5'' /gb=AA203213 /gi=1798923 /ug=Hs.833 /len=879'' "
577_at,midkine (neurite growth-promoting factor 2)
38124_at,midkine (neurite growth-promoting factor 2)
1030_s_at,topoisomerase (DNA) I
31680_at,Cluster Incl M55630:Human topoisomerase I pseudogene 2 /cds=UNKNOWN /gb=M55630 /gi=339812 /ug=Hs.234751 /len=1651
39003_at,pituitary tumor-transforming 1 interacting protein
40712_at,a disintegrin and metalloproteinase domain 8
977_s_at,"cadherin 1, type 1, E-cadherin (epithelial)"
35769_at,G protein-coupled receptor 56
35309_at,"suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)"
33448_at,"serine protease inhibitor, Kunitz type 1"
1007_s_at,"discoidin domain receptor family, member 1"
36643_at,"discoidin domain receptor family, member 1"
33161_at," Cluster Incl AI018098:ov65b11.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1642173 /clone_end=3'' /gb=AI018098 /gi=3232434 /ug=Hs.8961 /len=499'' "
33887_at,hepatocyte growth factor-regulated tyrosine kinase substrate
35630_at,lethal giant larvae (Drosophila) homolog 2
34885_at,synaptogyrin 2
32116_at,expressed in activated T/LAK lymphocytes
41220_at,MLL septin-like fusion
37754_at,"lectin, galactoside-binding, soluble, 3 binding protein (galectin 6 binding protein)"
39569_at,envoplakin
37912_at,TNF receptor-associated factor 4
37117_at,Rho GTPase activating protein 8
35707_at," Cluster Incl AI057614:oy31f04.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1667455 /clone_end=3'' /gb=AI057614 /gi=3331480 /ug=Hs.3741 /len=757'' "
38740_at,butyrate response factor 1 (EGF-response factor 1)
34310_at,adenine phosphoribosyltransferase
37890_at,"CD47 antigen (Rh-related antigen, integrin-associated signal transducer)"
32533_s_at,vesicle-associated membrane protein 5 (myobrevin)
41585_at,KIAA0746 protein
34892_at,"tumor necrosis factor receptor superfamily, member 10b"
1467_at,epidermal growth factor receptor pathway substrate 8
38208_at,"solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member 3"
1890_at,prostate differentiation factor
317_at,"protease, cysteine, 1 (legumain)"
41814_at,"fucosidase, alpha-L- 1, tissue"
38791_at,dolichyl-diphosphooligosaccharide-protein glycosyltransferase
36555_at,"synuclein, gamma (breast cancer-specific protein 1)"
40960_at," Cluster Incl D29805:Human mRNA for beta-1,4-galactosyltransferase, complete cds /cds=(72,1268) /gb=D29805 /gi=474986 /ug=Hs.198248 /len=4080 "
1257_s_at,quiescin Q6
2090_i_at," H12458 /FEATURE= /DEFINITION=H12458 yj12d03.s1 Soares placenta Nb2HP Homo sapiens cDNA clone IMAGE:148517 3'' similar to SP:WNT6_MOUSE P22727 WNT-6 PROTEIN ;, mRNA sequence "
36564_at,Cluster Incl W27419:31a10 Homo sapiens cDNA /gb=W27419 /gi=1307241 /ug=Hs.64239 /len=803
38207_at," Cluster Incl AW006742:wr28g10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2489058 /clone_end=3'' /gb=AW006742 /gi=5855520 /ug=Hs.159255 /len=679'' "
32570_at,hydroxyprostaglandin dehydrogenase 15-(NAD)
37323_r_at," Cluster Incl X82460:H.sapiens mRNA for 15-hydroxy prostaglandin dehydrogenase /cds=(0,536) /gb=X82460 /gi=1164906 /ug=Hs.77348 /len=660 "
40310_at,toll-like receptor 2
36680_at,"amylase, alpha 2B; pancreatic"
40766_at," Cluster Incl U24578:Human RP1 and complement C4B precursor (C4B) genes, partial cds /cds=(111,5210) /gb=U24578 /gi=1125049 /ug=Hs.170250 /len=5352 "
39014_at,Fc fragment of IgG binding protein
39914_r_at,Cluster Incl W28976:54e5 Homo sapiens cDNA /gb=W28976 /gi=1308924 /ug=Hs.133151 /len=903
503_at,polymerase (RNA) II (DNA directed) polypeptide L (7.6kD)
35841_at," Cluster Incl N24355:yx14b01.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-261673 /clone_end=5'' /gb=N24355 /gi=1138505 /ug=Hs.71618 /len=495'' "
36644_at,CD151 antigen
36187_at,ribonuclease/angiogenin inhibitor
31898_at,KIAA0212 gene product
32112_s_at," Cluster Incl AI800499:tc11f11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2063565 /clone_end=3'' /gb=AI800499 /gi=5365971 /ug=Hs.161002 /len=403'' "
38397_at,Cluster Incl U09196:Human 1.1 kb mRNA upregulated in retinoic acid treated HL-60 neutrophilic cells /cds=UNKNOWN /gb=U09196 /gi=483929 /ug=Hs.82520 /len=1254
36197_at,chitinase 3-like 1 (cartilage glycoprotein-39)
35714_at,"pyridoxal (pyridoxine, vitamin B6) kinase"
40729_s_at,nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1
32464_at,"defensin, beta 2"
668_s_at,"matrix metalloproteinase 7 (matrilysin, uterine)"
33925_at,"neurogranin (protein kinase C substrate, RC3)"
36781_at,"serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1"
40315_at,"serine protease inhibitor, Kazal type, 5"
1173_g_at," Spermidine/Spermine N1-Acetyltransferase, Alt. Splice 2 "
34304_s_at," Cluster Incl AL050290:Homo sapiens mRNA; cDNA DKFZp586G1923 (from clone DKFZp586G1923) /cds=(490,780) /gb=AL050290 /gi=4886512 /ug=Hs.28491 /len=1133 "
38088_r_at,"S100 calcium-binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)"
38166_r_at,myeloid/lymphoid or mixed-lineage leukemia 2
36503_at,"small inducible cytokine subfamily A (Cys-Cys), member 21"
37061_at,chitinase 1 (chitotriosidase)
39692_at,hypothetical protein DKFZp586F2423
1085_s_at,"phospholipase C, gamma 2 (phosphatidylinositol-specific)"
38237_at,gamma-glutamyltransferase-like activity 1
40396_at," Cluster Incl U49395:Human ionotropic ATP receptor P2X5a mRNA, complete cds /cds=(52,1317) /gb=U49395 /gi=1552521 /ug=Hs.77807 /len=1956 "
40491_at," Cluster Incl W84531:zd90h11.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-356805 /clone_end=3'' /gb=W84531 /gi=1395643 /ug=Hs.169531 /len=671'' "
37006_at," Cluster Incl AI660656:wf23c07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2351436 /clone_end=3'' /gb=AI660656 /gi=4764239 /ug=Hs.76325 /len=522'' "
40163_r_at,"cartilage oligomeric matrix protein (pseudoachondroplasia, epiphyseal dysplasia 1, multiple)"
37864_s_at," Cluster Incl Y14737:Homo sapiens mRNA for immunoglobulin lambda heavy chain /cds=(65,1498) /gb=Y14737 /gi=2765424 /ug=Hs.140 /len=1631 "
33274_f_at," Cluster Incl M18645:Human Ig rearranged lambda-chain mRNA VJC-region subgroup lambda-IV from heterohybridoma H6-3C4 /cds=(30,731) /gb=M18645 /gi=186103 /ug=Hs.181125 /len=872 "
33273_f_at,immunoglobulin lambda locus
41827_f_at," Cluster Incl AI932613:wo05c02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2454434 /clone_end=3'' /gb=AI932613 /gi=5671350 /ug=Hs.62036 /len=570'' "
38194_s_at," Cluster Incl M63438:Human Ig rearranged gamma chain mRNA, V-J-C region and complete cds /cds=(0,1049) /gb=M63438 /gi=184847 /ug=Hs.156110 /len=1244 "
33500_i_at," Cluster Incl S71043:Ig alpha 2=immunoglobulin A heavy chain allotype 2 {constant region, germ line} [human, peripheral blood neutrophils, Genomic, 1799 nt] /cds=(0,1022) /gb=S71043 /gi=546798 /ug=Hs.32225 /len=1047 "
33501_r_at," Cluster Incl S71043:Ig alpha 2=immunoglobulin A heavy chain allotype 2 {constant region, germ line} [human, peripheral blood neutrophils, Genomic, 1799 nt] /cds=(0,1022) /gb=S71043 /gi=546798 /ug=Hs.32225 /len=1047 "
33499_s_at," Cluster Incl AF067420:Homo sapiens SNC73 protein (SNC73) mRNA, complete cds /cds=(395,1549) /gb=AF067420 /gi=3201899 /ug=Hs.32225 /len=1594 "
41097_at,telomeric repeat binding factor 2
39504_at,connexin46.6
1652_at,pim-2 oncogene
39845_at,HtrA-like serine protease
1627_at,Tyrosine Kinase
31347_at," Cluster Incl AF058075:Homo sapiens clone ASPBLL54 immunoglobulin lambda light chain VJ region mRNA, partial cds /cds=(0,143) /gb=AF058075 /gi=3093897 /ug=Hs.132733 /len=325 "
35090_g_at,neuregulin 2
39733_at,"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1"
31460_f_at," Cluster Incl AF043586:Homo sapiens clone CPRF1-T2 immunoglobulin lambda chain VJ region, (IGL) mRNA, partial cds /cds=(0,273) /gb=AF043586 /gi=2865483 /ug=Hs.166191 /len=306 "
34098_f_at," Cluster Incl AI799757:wc37g12.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2320870 /clone_end=3'' /gb=AI799757 /gi=5365229 /ug=Hs.209681 /len=528'' "
31319_at,immunoglobulin kappa variable 2/OR22-4
31596_f_at,immunoglobulin lambda-like polypeptide 2
703_at," Immunoglobulin Heavy Chain, Vdjrc Regions "
35566_f_at," Cluster Incl AF015128:Homo sapiens IgG heavy chain variable region (Vh26) mRNA, partial cds /cds=(0,176) /gb=AF015128 /gi=2367522 /ug=Hs.135635 /len=374 "
34105_f_at," Cluster Incl AI147237:qb36f02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1698363 /clone_end=3'' /gb=AI147237 /gi=3674919 /ug=Hs.210732 /len=474'' "
31586_f_at," Cluster Incl X72475:H.sapiens mRNA for rearranged Ig kappa light chain variable region (I.114) /cds=(0,421) /gb=X72475 /gi=441418 /ug=Hs.192989 /len=454 "
35530_f_at," Cluster Incl X92997:H.sapiens mRNA for IgG lambda light chain V-J-C region (clone Tgl4) /cds=(0,321) /gb=X92997 /gi=1070337 /ug=Hs.129722 /len=322 "
31315_at," Cluster Incl D84143:Human immunoglobulin (mAb59) light chain V region mRNA, partial sequence /cds=(0,333) /gb=D84143 /gi=1255613 /ug=Hs.121508 /len=334 "
34095_f_at," Cluster Incl U80114:Human immunoglobulin heavy chain variable region (V4-31) gene, partial cds /cds=(0,320) /gb=U80114 /gi=1791070 /ug=Hs.207061 /len=321 "
34094_i_at," Cluster Incl U80114:Human immunoglobulin heavy chain variable region (V4-31) gene, partial cds /cds=(0,320) /gb=U80114 /gi=1791070 /ug=Hs.207061 /len=321 "
1633_g_at,pim-2 oncogene
41064_at,Cluster Incl AL049296:Homo sapiens mRNA; cDNA DKFZp564P013 (from clone DKFZp564P013) /cds=UNKNOWN /gb=AL049296 /gi=4500057 /ug=Hs.97263 /len=1093
35590_s_at,gastric inhibitory polypeptide receptor
38017_at,CD79A antigen (immunoglobulin-associated alpha)
33304_at,interferon stimulated gene (20kD)
33622_at," Cluster Incl Z26308:H.sapiens isoform 1 gene for L-type calcium channel, neuronal subform (partial) /cds=UNKNOWN /gb=Z26308 /gi=509342 /ug=Hs.166077 /len=1013 "
41165_g_at,immunoglobulin heavy constant mu
41164_at,immunoglobulin heavy constant mu
33812_at,Cluster Incl AL049415:Homo sapiens mRNA; cDNA DKFZp586N2119 (from clone DKFZp586N2119) /cds=UNKNOWN /gb=AL049415 /gi=4500196 /ug=Hs.204290 /len=1232
38193_at,Cluster Incl X96754:H.sapiens gene encoding kappa light chain constant region /cds=UNKNOWN /gb=X96754 /gi=1237214 /ug=Hs.156110 /len=1075
35807_at,"cytochrome b-245, alpha polypeptide"
1280_i_at,Serine/Threonine Kinase
39756_g_at," Cluster Incl Z93930:Human DNA sequence from clone 292E10 on chromosome 22q11-12. Contains the XBP1 gene for X-box binding protein 1 (TREB5), ESTs, STSs, GSSs and a putative CpG island /cds=(30,815) /gb=Z93930 /gi=4775603 /ug=Hs.149923 /len=1802 "
39755_at," Cluster Incl Z93930:Human DNA sequence from clone 292E10 on chromosome 22q11-12. Contains the XBP1 gene for X-box binding protein 1 (TREB5), ESTs, STSs, GSSs and a putative CpG island /cds=(30,815) /gb=Z93930 /gi=4775603 /ug=Hs.149923 /len=1802 "
38635_at,"signal sequence receptor, delta (translocon-associated protein delta)"
33449_at,"proteasome (prosome, macropain) subunit, alpha type, 7"
36038_r_at,"spectrin, beta, erythrocytic (includes spherocytosis, clinical type I)"
32115_r_at,adenosine A2a receptor
40106_at,E1B-55kDa-associated protein 5
37831_at,KIAA0545 protein
31512_at,immunoglobulin kappa variable 1-13
34367_at,phosphoglycerate dehydrogenase
37467_at,immunoglobulin heavy constant delta
38950_r_at,matrix metalloproteinase 23B
824_at,glutathione-S-transferase like; glutathione transferase omega
1375_s_at,tissue inhibitor of metalloproteinase 2
1693_s_at,"tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)"
1482_g_at,matrix metalloproteinase 12 (macrophage elastase)
1481_at,matrix metalloproteinase 12 (macrophage elastase)
2092_s_at,"secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)"
34342_s_at,"secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)"
39829_at,ADP-ribosylation factor-like 7
31859_at,"matrix metalloproteinase 9 (gelatinase B, 92kD gelatinase, 92kD type IV collagenase)"
1385_at,"transforming growth factor, beta-induced, 68kD"
1395_at,"ras homolog gene family, member C"
35749_at,"transcriptional adaptor 3 (ADA3, yeast homolog)-like (PCAF histone acetylase complex)"
34408_at,reticulon 2
32529_at,"transmembrane protein (63kD), endoplasmic reticulum/Golgi intermediate compartment"
36184_at,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI)"
38118_at,SHC (Src homology 2 domain-containing) transforming protein 1
2058_s_at,"integrin, beta 5"
39754_at," Cluster Incl X53002:Human mRNA for integrin beta-5 subunit /cds=(336,2735) /gb=X53002 /gi=33952 /ug=Hs.149846 /len=3416 "
38442_at,microfibrillar-associated protein 2
41191_at,palladin
38566_at,"collagen, type X, alpha 1 (Schmid metaphyseal chondrodysplasia)"
38181_at,matrix metalloproteinase 11 (stromelysin 3)
38466_at,cathepsin K (pycnodysostosis)
35169_at," Cluster Incl AI982638:wt53c06.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2511178 /clone_end=3'' /gb=AI982638 /gi=5809857 /ug=Hs.26208 /len=580'' "
35168_f_at,"collagen, type XVI, alpha 1"
37248_at,carboxypeptidase Z
38427_at,"collagen, type XV, alpha 1"
31609_s_at,procollagen C-endopeptidase enhancer
36976_at,"cadherin 11, type 2, OB-cadherin (osteoblast)"
38038_at,lumican
38126_at,biglycan
1451_s_at,osteoblast specific factor 2 (fasciclin I-like)
38636_at,immunoglobulin superfamily containing leucine-rich repeat
37892_at,"collagen, type XI, alpha 1"
35474_s_at," Cluster Incl Y15915:Homo sapiens mRNA for chimaeric transcript of collagen type 1 alpha 1 and platelet derived growth factor beta, 1068 bp /cds=(0,1067) /gb=Y15915 /gi=3288486 /ug=Hs.172928 /len=1068 "
39945_at,"fibroblast activation protein, alpha"
39069_at,AE-binding protein 1
32535_at,fibrillin 1 (Marfan syndrome)
39395_at," Cluster Incl AA704137:ag47g01.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1119984 /clone_end=3'' /gb=AA704137 /gi=2714055 /ug=Hs.125359 /len=923'' "
659_g_at,thrombospondin 2
658_at,thrombospondin 2
36861_at,DKFZP564I1922 protein
671_at,"secreted protein, acidic, cysteine-rich (osteonectin)"
32305_at,"collagen, type I, alpha 2"
32488_at,"collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)"
32307_s_at," Cluster Incl V00503:Human mRNA encoding Pro-alpha-2 chain of type I procollagen. (major part) /cds=(0,2223) /gb=V00503 /gi=30123 /ug=Hs.179573 /len=2452 "
32306_g_at,"collagen, type I, alpha 2"
38420_at,"collagen, type V, alpha 2"
38077_at,"collagen, type VI, alpha 3"
38112_g_at,chondroitin sulfate proteoglycan 2 (versican)
38111_at,chondroitin sulfate proteoglycan 2 (versican)
35832_at,KIAA1077 protein
34802_at,"collagen, type VI, alpha 2"
38722_at,"collagen, type VI, alpha 1"
32783_at,fibulin 2
35219_at,Cluster Incl AL050202:Homo sapiens mRNA; cDNA DKFZp586E2023 (from clone DKFZp586E2023) /cds=UNKNOWN /gb=AL050202 /gi=4884441 /ug=Hs.29005 /len=1169
719_g_at,"protease, serine, 11 (IGF binding)"
718_at,"protease, serine, 11 (IGF binding)"
33412_at," Cluster Incl AI535946:vicpro2.D07.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI535946 /gi=4450081 /ug=Hs.227751 /len=647'' "
40496_at,"complement component 1, s subcomponent"
39409_at,"complement component 1, r subcomponent"
37573_at,Cluster Incl AF007150:Homo sapiens clone 23767 and 23782 mRNA sequences /cds=UNKNOWN /gb=AF007150 /gi=2852628 /ug=Hs.8025 /len=1444
39167_r_at,"serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 2"
39166_s_at,"serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 2"
32314_g_at,tropomyosin 2 (beta)
32313_at,tropomyosin 2 (beta)
31719_at,fibronectin 1
311_s_at," Fibronectin, Alt. Splice 1 "
31720_s_at,fibronectin 1
2062_at," L19182 /FEATURE= /DEFINITION=HUMMAC25X Human MAC25 mRNA, complete cds "
36659_at,"collagen, type IV, alpha 2"
39333_at,"collagen, type IV, alpha 1"
1771_s_at,"platelet-derived growth factor receptor, beta polypeptide"
36993_at," Cluster Incl M33210:Human colony stimulating factor 1 receptor (CSF1R) gene /cds=(0,283) /gb=M33210 /gi=532592 /ug=Hs.76144 /len=2206 "
32845_at,heparan sulfate proteoglycan 2 (perlecan)
36791_g_at,tropomyosin 1 (alpha)
36792_at," Cluster Incl Z24727:H.sapiens tropomyosin isoform mRNA, complete CDS /cds=(326,1057) /gb=Z24727 /gi=854188 /ug=Hs.77899 /len=1569 "
36790_at,tropomyosin 1 (alpha)
38637_at," Cluster Incl L16895:Human lysyl oxidase (LOX) gene, exon 7 /cds=(0,6) /gb=L16895 /gi=292923 /ug=Hs.102267 /len=2052 "
40856_at,"serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1"
39330_s_at,"actinin, alpha 1"
39329_at,"actinin, alpha 1"
37345_at,calumenin
34403_at,milk fat globule-EGF factor 8 protein
31682_s_at,chondroitin sulfate proteoglycan 2 (versican)
41138_at,"antigen identified by monoclonal antibodies 12E7, F21 and O13"
33371_s_at,"RAB31, member RAS oncogene family"
36070_at,KIAA1199 protein
37408_at,endocytic receptor (macrophage mannose receptor family)
32808_at,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
33787_at,KIAA0537 gene product
40078_at,"protease, serine, 23"
40848_g_at,KIAA0750 gene product
40847_at,KIAA0750 gene product
36601_at,vinculin
1830_s_at,"transforming growth factor, beta 1"
39327_at,Melanoma associated gene
31830_s_at,smoothelin
41246_at," Cluster Incl AI743134:wg87f07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2372101 /clone_end=3'' /gb=AI743134 /gi=5111422 /ug=Hs.21858 /len=853'' "
2057_g_at,"fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)"
2056_at,"fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)"
424_s_at,"fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)"
39082_at,annexin A6
41216_r_at,"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein"
41215_s_at,"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein"
1147_at,V-Erba Related Ear-3 Protein
